,nome,cpf,idade,data,endereco,estado,pais
0,Cecília Gonçalves,149.356.820-51,48,19/11/1976,"Parque de Rocha, 99
Flavio De Oliveira
96529-563 Fonseca / SE",Bahia,Brasil
1,Davi Lucca Gonçalves,215.460.389-06,36,15/09/1988,"Feira de da Conceição, 96
Vila Esplanada
34879-680 Cavalcanti / SC",Mato Grosso,Brasil
2,Dra. Ana Lívia da Costa,453.716.028-44,43,14/10/1981,"Praça Caldeira
Vila São Geraldo
09432-083 Novaes / PA",Maranhão,Brasil
3,Lucca Melo,350.769.482-47,22,26/07/2002,"Viela de da Cruz
Boa União 1ª Seção
54481-912 Monteiro das Flores / SP",Sergipe,Brasil
4,Carlos Eduardo Cirino,270.863.951-02,34,11/09/1990,"Vale de Ferreira, 2
Vila Santa Monica 1ª Seção
56295506 Nunes de Fonseca / MS",Alagoas,Brasil
5,Eduardo Fogaça,631.950.847-75,69,01/06/1955,"Trecho Asafe da Mota, 41
Ademar Maldonado
02165380 Brito do Galho / BA",Maranhão,Brasil
6,Stephany Cassiano,468.097.325-00,33,18/11/1991,"Travessa Nathan Barbosa, 40
Dom Bosco
92812-864 Vieira / GO",Paraná,Brasil
7,Benjamim Duarte,327.698.045-29,68,21/01/1957,"Colônia de Ribeiro, 22
Vila São Gabriel
47966-369 Casa Grande / PR",Acre,Brasil
8,Arthur Gabriel Lopes,309.657.481-20,28,16/12/1996,"Lagoa de Machado, 7
Conjunto Celso Machado
61755-367 Casa Grande de Machado / SC",Maranhão,Brasil
9,Thiago Castro,516.278.304-80,66,14/08/1958,"Travessa de Fogaça, 12
Santa Rosa
15104-489 Azevedo / AM",Espírito Santo,Brasil
10,Danilo Cardoso,187.534.620-17,55,04/12/1969,"Campo de da Luz, 8
Europa
26754-014 Rocha / ES",Rondônia,Brasil
11,Lunna Duarte,914.306.758-10,68,04/01/1957,"Lagoa de Fogaça, 10
Parque São Pedro
89392285 Marques / RS",Pernambuco,Brasil
12,Matheus Ribeiro,095.463.218-42,27,10/07/1997,"Distrito Casa Grande, 617
Jatobá
03663-484 Barbosa Alegre / PE",Paraná,Brasil
13,Heloísa Costela,579.043.612-99,68,14/07/1956,"Estação Silveira, 99
Pantanal
07089810 da Mata / MT",Tocantins,Brasil
14,Davi Lucas Cassiano,039.467.852-47,45,30/09/1979,"Estrada Farias, 2
Juliana
99338-986 Rocha do Amparo / MG",Rio Grande do Sul,Brasil
15,Clarice Melo,047.695.821-02,59,22/11/1965,"Fazenda Nascimento, 16
Itaipu
00853-517 Araújo de Minas / PE",Rio Grande do Norte,Brasil
16,Nicolas Moraes,368.950.172-59,24,19/12/2000,"Condomínio Carvalho, 18
Petropolis
77408398 Fonseca / CE",Tocantins,Brasil
17,Allana Cirino,846.957.321-73,29,23/05/1995,"Viela da Costa, 16
Aparecida
46312-005 Rodrigues / RN",Distrito Federal,Brasil
18,Vitória Moraes,417.028.965-01,64,05/08/1960,"Estação Enzo Gabriel Freitas, 30
Jardim Dos Comerciarios
84013-505 Campos do Sul / AM",Goiás,Brasil
19,Luiz Felipe Alves,138.925.046-60,54,13/08/1970,"Avenida Macedo, 478
Vila De Sá
42691-202 Silva / BA",Santa Catarina,Brasil
20,Rafaela Rios,958.716.043-66,68,08/10/1956,"Conjunto Asafe Martins, 78
Guarani
88332-421 Duarte / AC",Rondônia,Brasil
21,Anna Liz Dias,681.732.459-91,46,27/02/1979,"Residencial Ana Carolina Castro, 44
Santa Isabel
11385720 Novaes das Flores / RS",Santa Catarina,Brasil
22,Allana Gomes,936.841.520-05,23,29/07/2001,"Trecho Pedro Henrique Camargo, 648
Jonas Veiga
18338-552 Costela da Prata / DF",Pernambuco,Brasil
23,Luan Siqueira,847.316.052-53,59,11/12/1965,"Colônia de da Mota, 98
São Vicente
02603101 Andrade das Pedras / TO",Rio Grande do Sul,Brasil
24,Leonardo Vargas,621.378.540-07,53,28/12/1971,"Estação Pedro Miguel Novaes, 2
Cônego Pinheiro 2ª Seção
75579-662 Machado de Goiás / MT",Paraíba,Brasil
25,Júlia Silva,975.038.426-10,59,20/01/1966,"Viela Marina Novais, 256
Vila Rica
96544028 Albuquerque Alegre / AP",Goiás,Brasil
26,Lavínia Guerra,670.284.395-00,25,26/05/1999,"Pátio de Andrade
Beija Flor
75526972 Cavalcante das Pedras / RR",Rio Grande do Norte,Brasil
27,Sr. Diego Andrade,536.120.784-53,65,20/07/1959,"Via Vinicius Silva
Vila Jardim Montanhes
36812217 Ramos / AM",Paraíba,Brasil
28,Brenda Mendonça,053.276.894-92,26,09/12/1998,"Loteamento de da Cruz, 54
Pilar
33583-921 Albuquerque de Cavalcanti / TO",Paraíba,Brasil
29,Dra. Cecilia Sales,925.081.746-02,32,20/01/1993,"Núcleo Valentim Novais, 935
Liberdade
03798-911 Souza / AL",Rio de Janeiro,Brasil
30,Maria Flor Aragão,027.148.936-78,26,16/06/1998,"Trevo Davi Lucca Sales, 382
Vila Jardim Montanhes
97687610 Cunha do Norte / RR",Pernambuco,Brasil
31,Ana Laura Camargo,034.528.967-65,18,13/08/2006,"Praia Aylla Casa Grande
Nova Vista
46033414 Cavalcante / MT",Rio Grande do Norte,Brasil
32,Dra. Ana Teixeira,256.409.318-33,53,16/06/1971,"Praia Cauã Sales, 96
Barão Homem De Melo 2ª Seção
00463736 Costa Verde / RO",Piauí,Brasil
33,Theodoro Almeida,513.482.970-50,40,16/07/1984,"Área Eloá da Luz, 78
Vila Santo Antônio Barroquinha
09274-363 Correia / RS",Mato Grosso do Sul,Brasil
34,Heitor Sales,685.231.407-35,61,15/09/1963,"Sítio Mirella Duarte, 6
Vila Cloris
08014113 Caldeira / PE",Pernambuco,Brasil
35,Rhavi Sá,659.018.732-03,39,07/09/1985,"Aeroporto de Lopes, 86
Vila Pinho
16993784 Araújo das Pedras / AP",Rio Grande do Sul,Brasil
36,Benício Borges,987.620.135-21,41,22/08/1983,"Viela de da Mata, 36
Ernesto Nascimento
35486306 Gomes do Amparo / AC",Paraná,Brasil
37,Rael Mendonça,591.208.376-40,40,08/10/1984,"Jardim de Gomes, 9
Camponesa 1ª Seção
52615-019 Martins dos Dourados / ES",Maranhão,Brasil
38,Evelyn Azevedo,681.420.573-44,51,15/02/1974,"Travessa de Aragão, 26
Dom Silverio
40030-381 Nunes de Pimenta / MS",Rio Grande do Sul,Brasil
39,Gabriel Melo,123.907.546-43,43,09/07/1981,"Loteamento de Gonçalves
União
64195949 Siqueira / MA",Espírito Santo,Brasil
40,Srta. Ana Cecília da Paz,794.130.862-22,51,07/01/1974,"Vereda Evelyn Souza, 814
São João
89813-555 Abreu do Norte / DF",Pará,Brasil
41,Dr. Leonardo Fernandes,038.952.614-24,34,10/11/1990,"Colônia Pacheco, 78
Novo Aarão Reis
88573-714 Rodrigues de Nunes / AL",Acre,Brasil
42,Yuri Ribeiro,380.921.457-41,64,10/08/1960,"Colônia Giovanna Moura
Buritis
33176648 Vieira / AC",Rondônia,Brasil
43,Maria Alice Lopes,531.290.647-61,46,28/10/1978,"Núcleo de Almeida, 10
Vila Rica
44356-295 Costa / RR",Roraima,Brasil
44,Ayla Cavalcante,702.145.368-07,62,16/03/1963,"Praça Liz Mendes, 28
Vila Independencia 1ª Seção
28070-797 Peixoto / PB",Amapá,Brasil
45,Isaac Albuquerque,362.910.485-15,57,02/02/1968,"Alameda da Cruz, 6
Nova Esperança
44541437 Fernandes / ES",Rio Grande do Sul,Brasil
46,Sra. Isadora Barbosa,026.834.715-80,23,30/07/2001,"Largo Maria Julia Castro, 34
Estrela
43561-530 Silva das Flores / PI",Paraná,Brasil
47,Mirella Rodrigues,520.376.948-65,33,08/07/1991,"Estação Carlos Eduardo Garcia
Olhos D'água
77051209 Aragão / SE",Distrito Federal,Brasil
48,José Mendes,561.879.240-02,55,11/01/1970,"Residencial Luara Moura, 72
Nova Gameleira
17210084 Rocha / RR",Amazonas,Brasil
49,Nicole Pereira,687.539.014-01,44,13/07/1980,"Residencial Rezende, 32
Vila Paraíso
16821-987 Novais / RJ",Pará,Brasil
50,Arthur Gabriel Cavalcante,856.391.270-40,56,24/02/1969,"Via Pietro da Cruz, 96
Vila Trinta E Um De Março
82113-613 Moraes de Souza / PR",Ceará,Brasil
51,Valentim Siqueira,023.168.754-08,27,09/12/1997,"Chácara Alexandre Silva, 29
Pirineus
07325216 da Luz de Pimenta / MA",Distrito Federal,Brasil
52,Dra. Alexia Lopes,358.712.046-35,45,14/03/1980,"Via Manuella Ribeiro, 23
Estrela Do Oriente
09100981 Borges Paulista / MS",Mato Grosso do Sul,Brasil
53,Isis Gomes,291.680.743-87,19,26/01/2006,"Loteamento Freitas, 40
Conjunto Floramar
65345-470 Siqueira Grande / PB",Acre,Brasil
54,Sofia Novais,517.968.243-64,46,10/04/1978,"Trevo das Neves, 72
Jatobá
42061-097 Cavalcanti / SC",Rondônia,Brasil
55,Lavínia Pastor,106.783.524-53,27,18/09/1997,"Vila da Paz, 7
Vila Petropolis
68814-386 Garcia das Pedras / CE",Maranhão,Brasil
56,Yasmin Peixoto,645.921.870-67,63,24/12/1961,"Viaduto de Sá, 997
Cônego Pinheiro 2ª Seção
18422-258 Fogaça / AM",Tocantins,Brasil
57,Danilo Cardoso,648.573.029-00,25,11/03/2000,"Rua Ribeiro, 1
Tres Marias
16970-952 Ramos / MT",Bahia,Brasil
58,Ágatha Viana,093.547.281-97,68,14/06/1956,"Estação Pastor, 681
Maria Goretti
46296-559 Pastor / RO",Paraná,Brasil
59,Maria Sophia Caldeira,748.201.936-78,60,15/09/1964,"Distrito de Nunes, 8
Jaraguá
69253-230 Cavalcante do Amparo / RR",Bahia,Brasil
